"PVWatts: Hourly PV Performance Data"
"Requested Location:","new york"
"Location:","Lat, Lng: 40.73, -74.02"
"Lat (deg N):","40.73"
"Lng (deg W):","74.02"
"Elev (m):","0"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-3","5","0","-3","0","0"
"1","1","1","0","0","-3","6","0","-3","0","0"
"1","1","2","0","0","-3","7","0","-3","0","0"
"1","1","3","0","0","-3","7","0","-3","0","0"
"1","1","4","0","0","-4","7","0","-4","0","0"
"1","1","5","0","0","-4","6","0","-4","0","0"
"1","1","6","0","0","-4","6","0","-4","0","0"
"1","1","7","0","0","-3","6","0","-3","0","0"
"1","1","8","207","61","-2","6","157.009","-0.553","571.238","539.041"
"1","1","9","769","60","0","6","504.183","7.798","1810.38","1742.181"
"1","1","10","513","118","0","6","489.544","7.998","1794.397","1726.753"
"1","1","11","469","147","0","6","522.592","8.562","1920.928","1848.823"
"1","1","12","492","142","1","6","533.227","9.797","1949.047","1875.931"
"1","1","13","831","72","2","7","646.949","11.788","2325.555","2238.187"
"1","1","14","752","62","1","7","496.679","8.49","1778.356","1711.266"
"1","1","15","594","43","0","6","291.21","4.485","1003.911","960.764"
"1","1","16","0","0","0","6","0","0","0","0"
"1","1","17","0","0","0","7","0","0","0","0"
"1","1","18","0","0","0","7","0","0","0","0"
"1","1","19","0","0","0","7","0","0","0","0"
"1","1","20","0","0","0","7","0","0","0","0"
"1","1","21","0","0","0","6","0","0","0","0"
"1","1","22","0","0","0","6","0","0","0","0"
"1","1","23","0","0","0","6","0","0","0","0"
"1","2","0","0","0","0","6","0","0","0","0"
"1","2","1","0","0","0","5","0","0","0","0"
"1","2","2","0","0","0","5","0","0","0","0"
"1","2","3","0","0","-1","5","0","-1","0","0"
"1","2","4","0","0","-1","5","0","-1","0","0"
"1","2","5","0","0","-1","5","0","-1","0","0"
"1","2","6","0","0","-1","5","0","-1","0","0"
"1","2","7","0","0","0","5","0","0","0","0"
"1","2","8","156","62","0","6","138.352","1.124","503.969","473.318"
"1","2","9","455","91","1","6","367.215","6.359","1335.386","1282.674"
"1","2","10","298","154","2","6","380.073","7.893","1398.202","1343.562"
"1","2","11","345","171","3","6","451.055","10.168","1648.169","1585.495"
"1","2","12","380","165","3","6","469.105","10.581","1710.43","1645.664"
"1","2","13","515","118","3","5","491.497","11.989","1770.449","1703.632"
"1","2","14","642","64","2","5","442.817","10.068","1577.385","1517.045"
"1","2","15","464","55","1","5","257.698","5.343","895.309","855.074"
"1","2","16","0","0","0","5","0","0","0","0"
"1","2","17","0","0","0","4","0","0","0","0"
"1","2","18","0","0","0","4","0","0","0","0"
"1","2","19","0","0","0","4","0","0","0","0"
"1","2","20","0","0","0","3","0","0","0","0"
"1","2","21","0","0","0","3","0","0","0","0"
"1","2","22","0","0","-1","3","0","-1","0","0"
"1","2","23","0","0","-1","3","0","-1","0","0"
"1","3","0","0","0","-1","3","0","-1","0","0"
"1","3","1","0","0","-1","4","0","-1","0","0"
"1","3","2","0","0","-2","4","0","-2","0","0"
"1","3","3","0","0","-2","4","0","-2","0","0"
"1","3","4","0","0","-2","4","0","-2","0","0"
"1","3","5","0","0","-2","4","0","-2","0","0"
"1","3","6","0","0","-1","4","0","-1","0","0"
"1","3","7","0","0","0","4","0","0","0","0"
"1","3","8","21","61","0","4","73.823","-0.062","280.229","254.416"
"1","3","9","27","114","1","5","136.718","2.337","517.672","486.709"
"1","3","10","0","58","2","5","55.062","1.834","209.842","185.456"
"1","3","11","0","20","3","5","18.958","1.988","72.202","50.472"
"1","3","12","0","38","3","5","36.049","2.265","137.13","114.168"
"1","3","13","0","111","2","5","108.773","2.726","412.967","384.34"
"1","3","14","0","70","2","4","67.182","2.043","255.804","230.492"
"1","3","15","0","9","2","3","8.513","0.46","32.632","11.633"
"1","3","16","0","0","2","3","0","2","0","0"
"1","3","17","0","0","2","3","0","2","0","0"
"1","3","18","0","0","3","3","0","3","0","0"
"1","3","19","0","0","3","3","0","3","0","0"
"1","3","20","0","0","4","3","0","4","0","0"
"1","3","21","0","0","4","2","0","4","0","0"
"1","3","22","0","0","4","2","0","4","0","0"
"1","3","23","0","0","4","2","0","4","0","0"
"1","4","0","0","0","4","2","0","4","0","0"
"1","4","1","0","0","4","2","0","4","0","0"
"1","4","2","0","0","3","2","0","3","0","0"
"1","4","3","0","0","3","3","0","3","0","0"
"1","4","4","0","0","3","4","0","3","0","0"
"1","4","5","0","0","3","5","0","3","0","0"
"1","4","6","0","0","3","4","0","3","0","0"
"1","4","7","0","0","3","4","0","3","0","0"
"1","4","8","0","11","3","4","10.407","1.53","39.712","18.583"
"1","4","9","0","48","4","4","45.543","3.35","172.449","148.801"
"1","4","10","0","31","5","5","29.392","4.192","110.892","88.433"
"1","4","11","0","84","6","5","80.069","6.173","299.529","273.318"
"1","4","12","11","160","7","6","168.687","8.805","623.555","590.126"
"1","4","13","0","98","8","5","94.957","8.717","351.324","324.025"
"1","4","14","13","112","8","5","120.347","9.094","443.508","414.21"
"1","4","15","0","51","8","6","50.013","7.765","185.809","161.899"
"1","4","16","0","4","7","5","3.781","5.709","14.171","0"
"1","4","17","0","0","7","5","0","7","0","0"
"1","4","18","0","0","7","5","0","7","0","0"
"1","4","19","0","0","7","4","0","7","0","0"
"1","4","20","0","0","7","4","0","7","0","0"
"1","4","21","0","0","6","6","0","6","0","0"
"1","4","22","0","0","5","7","0","5","0","0"
"1","4","23","0","0","4","7","0","4","0","0"
"1","5","0","0","0","3","7","0","3","0","0"
"1","5","1","0","0","3","7","0","3","0","0"
"1","5","2","0","0","3","7","0","3","0","0"
"1","5","3","0","0","2","7","0","2","0","0"
"1","5","4","0","0","1","7","0","1","0","0"
"1","5","5","0","0","1","7","0","1","0","0"
"1","5","6","0","0","0","7","0","0","0","0"
"1","5","7","0","0","0","7","0","0","0","0"
"1","5","8","529","51","0","7","277.065","3.259","965.586","923.479"
"1","5","9","146","122","1","8","218.863","3.392","816.483","778.293"
"1","5","10","461","129","0","8","468.723","6.024","1734.404","1668.822"
"1","5","11","452","153","0","9","518.809","6.446","1925.402","1853.137"
"1","5","12","149","195","0","9","329.158","3.889","1239.175","1189.344"
"1","5","13","866","70","0","8","673.857","9.154","2452.173","2359.716"
"1","5","14","800","59","0","8","526.291","7.284","1896.659","1825.421"
"1","5","15","649","43","-1","7","318.79","3.491","1106.993","1060.981"
"1","5","16","0","16","-2","7","15.172","-2.612","58.909","37.425"
"1","5","17","0","0","-2","7","0","-2","0","0"
"1","5","18","0","0","-3","7","0","-3","0","0"
"1","5","19","0","0","-4","7","0","-4","0","0"
"1","5","20","0","0","-5","6","0","-5","0","0"
"1","5","21","0","0","-5","6","0","-5","0","0"
"1","5","22","0","0","-6","6","0","-6","0","0"
